width,height,iter,time
4,2,5,0.02
4,4,5,0.016384
8,4,5,0.018912
8,8,5,0.019104
16,8,5,0.01824
16,16,5,0.019424
32,16,5,0.018688
32,32,5,0.02128
64,32,5,0.022816
64,64,5,0.027968
128,64,5,0.038368
128,128,5,0.054816
256,128,5,0.08736
256,256,5,0.154688
512,256,5,0.286976
512,512,5,0.564864
1024,512,5,0.967584
1024,1024,5,1.91187
2048,1024,5,3.72518
2048,2048,5,7.30336
4096,2048,5,15.0151
