width,height,iter,time
128,64,5,0.2657
128,128,5,0.1832
256,128,5,0.362
256,256,5,0.39499999999999996
512,256,5,0.37889999999999996
512,512,5,2.0776
1024,512,5,0.6041
1024,1024,5,0.8222999999999999
2048,1024,5,1.3401999999999998
2048,2048,5,2.3594999999999997
4096,2048,5,5.2009
4096,4096,5,8.2053
8192,4096,5,16.999399999999998
8192,8192,5,32.7451
16384,8192,5,64.746
16384,16384,5,106.518
32768,16384,5,216.23
32768,32768,5,428.417
65536,32768,5,854.784
