width,height,iter,time
128,64,5,0.021824
128,128,5,0.026624
256,128,5,0.033376
256,256,5,0.049568
512,256,5,0.083808
512,512,5,0.149632
1024,512,5,0.282048
1024,1024,5,0.565984
2048,1024,5,1.12544
2048,2048,5,2.23235
4096,2048,5,4.44653
4096,4096,5,8.87782
8192,4096,5,15.4581
8192,8192,5,28.6155
16384,8192,5,55.1482
16384,16384,5,90.4112
32768,16384,5,184.192
32768,32768,5,374.952
65536,32768,5,793.116
