width,height,iter,time
4,4,5,0.29309999999999997
4,8,5,0.2718
8,8,5,0.3215
8,16,5,0.3263
16,16,5,0.6182
16,32,5,0.18209999999999998
32,32,5,0.34109999999999996
32,64,5,0.24159999999999998
64,64,5,0.37589999999999996
64,128,5,0.31539999999999996
128,128,5,0.2993
128,256,5,0.2243
256,256,5,0.3724
256,512,5,0.4193
512,512,5,0.5677
512,1024,5,0.8437
1024,1024,5,1.5145
1024,2048,5,2.6984999999999997
2048,2048,5,5.1533
2048,4096,5,10.2683
4096,4096,5,19.0733
