width,height,iter,time
81,27,5,0.024224
81,81,5,0.032672
243,81,5,0.054784
243,243,5,0.127296
729,243,5,0.338848
729,729,5,0.8856
2187,729,5,2.5823
2187,2187,5,7.49242
6561,2187,5,22.3567
6561,6561,5,68.2827
19683,6561,5,205.508
19683,19683,5,593.288
59049,19683,5,2368.99
