width,height,iter,time
128,64,5,0.022176
128,128,5,0.026112
256,128,5,0.03456
256,256,5,0.050848
512,256,5,0.083616
512,512,5,0.150912
1024,512,5,0.287328
1024,1024,5,0.562432
2048,1024,5,1.10362
2048,2048,5,2.18989
4096,2048,5,3.91453
4096,4096,5,7.36131
8192,4096,5,14.3057
8192,8192,5,28.2058
16384,8192,5,56.132
16384,16384,5,93.5405
32768,16384,5,205.283
32768,32768,5,401.399
65536,32768,5,894.902
