width,height,iter,time
128,64,5,0.3722
128,128,5,0.33399999999999996
256,128,5,0.2637
256,256,5,0.28109999999999996
512,256,5,0.4682
512,512,5,0.4778
1024,512,5,0.6108
1024,1024,5,0.8276
2048,1024,5,1.2978999999999998
2048,2048,5,2.4722999999999997
4096,2048,5,4.6888
4096,4096,5,9.870899999999999
8192,4096,5,18.8889
8192,8192,5,36.3829
16384,8192,5,73.1544
16384,16384,5,132.475
32768,16384,5,237.464
32768,32768,5,476.305
65536,32768,5,954.761
